InvoiceNumber,Date,CarVIN,CustomerID,StaffID,Amount,Name_x,PhoneNumber,Email,Address,City,State/Province,Country,Zip/Postal Code,Name_y,Store,Manufacturer,Model,Year,Color
1,13/11/2024,BW860LEE6A46P5FND,141,144,25242.88,Alex Jones,+1-330-286-4239x3922,monique93@example.org,246 Hays Station,Ethanview,New York,Ireland,94120,Jillian Garcia,Store C,Chevrolet,capital,2020,White
2,25/06/2024,2F8W4L7791N0WF45X,152,45,39700.16,Dakota Jackson,(777)488-6582,maria27@example.org,669 Singh Trafficway,West Lori,Michigan,Angola,63498,Alisha Schwartz,Store D,Honda,south,2023,Red
3,24/11/2024,NSF877E14SJ0GCAX8,26,34,48580.48,Aimee Ibarra,(479)909-8867,kenneth10@example.org,820 Lucas Ridges,West Sarahburgh,Texas,Montserrat,60217,Timothy Mejia,Store A,Ford,chair,2016,Black
4,06/08/2024,HGL4A21A7XA2PD9TY,8,30,37275.81,Mackenzie Rodriguez,+1-765-364-3552x60494,jenniferspence@example.net,5291 Harris Mountain,East Jeffreystad,Georgia,Belarus,21274,David Franklin,Store D,Chevrolet,trial,2018,Red
5,13/12/2024,9M45D84Z0NGDKUGHT,119,7,27299.12,David Coffey,783-750-0038,roberta02@example.org,22835 Jon Expressway Apt. 693,Michaelville,South Dakota,Jordan,75547,Jeffery Bradford,Store C,Toyota,easy,2023,Green
6,14/02/2024,GTC70ZAD3DTNCHVMS,139,77,44497.89,Diamond Smith,(556)310-0936,foxmark@example.org,932 Jennifer Place Suite 363,Belindaton,Nebraska,Panama,23284,Kimberly Gray,Store B,Honda,nice,2022,White
7,07/08/2024,ND0P8U2J0UJG3WDWY,121,21,20989.49,Christopher Burns,8579013191,sean89@example.org,505 White Forge Apt. 684,Lake Caitlinton,Indiana,Montserrat,15250,George Waters,Store A,Toyota,light,2018,White
8,05/08/2024,HUHDVG0G70CPYWX0M,59,58,17411.6,James Nguyen,840-641-3508,kimberlyoconnell@example.com,0640 Young Place Suite 082,South Christopher,Louisiana,South Africa,95419,Alexandra Hamilton,Store A,Nissan,seven,2016,Black
9,27/03/2024,BPFXM9M40VL2CU0V0,122,45,29699.03,Frank Henderson,842-230-1406x31387,jonesvincent@example.org,26552 Emma Grove,New Robynshire,Nevada,Belgium,1594,Alisha Schwartz,Store D,Honda,peace,2022,Black
10,24/09/2024,XE2CZM3A51DJJ55SK,111,6,44226.82,William Holloway,3657553264,amanda28@example.net,26950 Lance Port,Evansland,South Carolina,Saudi Arabia,89393,Erika Griffith,Store A,Chevrolet,item,2015,Black
11,25/01/2024,L8HUU8RB5Y8BNUFG9,147,54,21085.02,Jennifer Mcclure,001-455-583-5579x84542,jellis@example.org,40996 Raven Avenue Apt. 737,Haleyfurt,South Dakota,United Kingdom,88480,Jason Bird,Store C,Chevrolet,hear,2017,Red
12,03/03/2024,6CT1JFY03W1G37KDM,31,20,26355.93,Mario Donovan,001-207-428-8304x9431,angelalynch@example.net,375 Crawford Circles,East Virginiaberg,Iowa,Brunei Darussalam,50426,Mr. Peter Young MD,Store A,Honda,real,2018,Green
13,16/04/2024,J0EHMWEF2LGJH2G7U,132,157,27269.24,Kyle Jones,480.427.0773,johncook@example.org,25543 Kristin Key,Lake Michaelville,North Dakota,Latvia,83590,Scott Keller,Store B,Honda,use,2023,Red
14,22/09/2024,6CT1JFY03W1G37KDM,115,92,34198.27,Bradley Brooks,001-891-201-5171x74651,davisjennifer@example.com,008 Jessica Path Apt. 747,Parkertown,Arizona,Macao,11353,Jim Gallegos,Store D,Honda,real,2018,Green
